"query"	"significant"	"p_value"	"term_size"	"query_size"	"intersection_size"	"precision"	"recall"	"term_id"	"source"	"term_name"	"effective_domain_size"	"source_order"	"parents"
"query_1"	TRUE	0.0000000117996897630237	715	99	23	0.232323232323232	0.0321678321678322	"GO:0002250"	"GO:BP"	"adaptive immune response"	18123	914	"GO:0006955"
"query_1"	TRUE	0.00000220904441624528	757	99	20	0.202020202020202	0.0264200792602378	"GO:0050778"	"GO:BP"	"positive regulation of immune response"	18123	15361	"GO:0002684, GO:0006955, GO:0048584, GO:0050776"
"query_1"	TRUE	0.00000220904441624528	97	99	9	0.0909090909090909	0.0927835051546392	"GO:0019886"	"GO:BP"	"antigen processing and presentation of exogenous peptide antigen via MHC class II"	18123	7021	"GO:0002478, GO:0002495"
"query_1"	TRUE	0.00000220904441624528	183	99	11	0.111111111111111	0.0601092896174863	"GO:0019884"	"GO:BP"	"antigen processing and presentation of exogenous antigen"	18123	7019	"GO:0019882"
"query_1"	TRUE	0.00000220904441624528	104	99	9	0.0909090909090909	0.0865384615384615	"GO:0002504"	"GO:BP"	"antigen processing and presentation of peptide or polysaccharide antigen via MHC class II"	18123	1159	"GO:0019882"
"query_1"	TRUE	0.00000220904441624528	101	99	9	0.0909090909090909	0.0891089108910891	"GO:0002495"	"GO:BP"	"antigen processing and presentation of peptide antigen via MHC class II"	18123	1150	"GO:0002504, GO:0048002"
"query_1"	TRUE	0.00000220904441624528	175	99	11	0.111111111111111	0.0628571428571429	"GO:0002478"	"GO:BP"	"antigen processing and presentation of exogenous peptide antigen"	18123	1133	"GO:0019884, GO:0048002"
"query_1"	TRUE	0.00000302234952140976	193	99	11	0.111111111111111	0.0569948186528497	"GO:0048002"	"GO:BP"	"antigen processing and presentation of peptide antigen"	18123	14527	"GO:0019882"
"query_1"	TRUE	0.00000373121681690688	1079	99	23	0.232323232323232	0.0213160333642261	"GO:0002684"	"GO:BP"	"positive regulation of immune system process"	18123	1334	"GO:0002376, GO:0002682, GO:0048518"
"query_1"	TRUE	0.00000373121681690688	366	99	14	0.141414141414141	0.0382513661202186	"GO:0002460"	"GO:BP"	"adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains"	18123	1115	"GO:0002250"
"query_1"	TRUE	0.0000037691995462558	157	99	10	0.101010101010101	0.0636942675159236	"GO:0002822"	"GO:BP"	"regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains"	18123	1465	"GO:0002460, GO:0002819"
"query_1"	TRUE	0.00000825712091780505	172	99	10	0.101010101010101	0.0581395348837209	"GO:0002819"	"GO:BP"	"regulation of adaptive immune response"	18123	1462	"GO:0002250, GO:0050776"
"query_1"	TRUE	0.0000107709375951069	1159	99	23	0.232323232323232	0.0198446937014668	"GO:0050776"	"GO:BP"	"regulation of immune response"	18123	15359	"GO:0002682, GO:0006955, GO:0048583"
"query_1"	TRUE	0.0000137365932395344	236	99	11	0.111111111111111	0.0466101694915254	"GO:0019882"	"GO:BP"	"antigen processing and presentation"	18123	7017	"GO:0002376"
"query_1"	TRUE	0.000015426043967091	360	99	13	0.131313131313131	0.0361111111111111	"GO:0002449"	"GO:BP"	"lymphocyte mediated immunity"	18123	1104	"GO:0002443"
"query_1"	TRUE	0.0000180211236240306	1734	99	28	0.282828282828283	0.0161476355247982	"GO:0002682"	"GO:BP"	"regulation of immune system process"	18123	1332	"GO:0002376, GO:0050789"
"query_1"	TRUE	0.0000198047165940909	440	99	14	0.141414141414141	0.0318181818181818	"GO:1903131"	"GO:BP"	"mononuclear cell differentiation"	18123	26209	"GO:0002521"
